Id,SalePrice
1461,111032.29439749944
1462,167941.60012880797
1463,180265.71139589752
1464,196387.48338624672
1465,192351.99375636975
1466,179028.63562585972
1467,190575.94163913434
1468,169278.25979651997
1469,194595.6881934471
1470,115988.38215625098
1471,207438.15682441666
1472,92865.57611376393
1473,87126.85724071601
1474,149667.17430232096
1475,103547.78511357635
1476,337480.27028312813
1477,242182.56005177874
1478,308378.94160823576
1479,300327.17283603933
1480,435505.2590766614
1481,285993.86788925686
1482,210490.95747180996
1483,190512.14376055333
1484,178553.40293613405
1485,198811.37488957608
1486,207294.67917971977
1487,301714.3828371803
1488,244388.1601134158
1489,202070.59475334117
1490,245864.9495483933
1491,215206.69253978183
1492,81126.39407945084
1493,211076.7223508554
1494,276745.9153594315
1495,268232.79245247965
1496,248035.67223221596
1497,175957.6184619538
1498,176201.08635159093
1499,169267.81708414803
1500,168721.3048636368
1501,196209.8846276087
1502,162356.80188800656
1503,275507.9881458961
1504,244244.05257434165
1505,233693.44186462785
1506,202385.93698948453
1507,244507.01526768884
1508,203110.45882850373
1509,148268.21126426436
1510,150100.15048675437
1511,159663.86054428184
1512,184025.97985817606
1513,147536.98340941867
1514,163261.9480611889
1515,197298.71256991173
1516,152015.19497879868
1517,166228.3214151949
1518,135370.6360383402
1519,235207.14211721806
1520,131268.6120791707
1521,132253.84363279166
1522,183059.1086034681
1523,86667.65196314533
1524,105968.15380727443
1525,98472.6464763287
1526,95608.64300821931
1527,89446.43015530016
1528,127960.82392199768
1529,134803.80033114518
1530,197503.69314312685
1531,145384.4608725263
1532,95733.63312509477
1533,157056.23099444993
1534,136386.1924899586
1535,148541.63138059826
1536,99548.62593324378
1537,71451.29828619985
1538,147981.167653222
1539,213112.33314628314
1540,115747.22912434954
1541,141804.42124853656
1542,128859.23043211523
1543,166386.3861191223
1544,69192.08981268576
1545,83381.7250385528
1546,126253.32760490253
1547,125582.2779857754
1548,108466.80568635215
1549,104401.79448082986
1550,124054.9314202551
1551,122834.59651012579
1552,144331.12265178433
1553,145281.5573386962
1554,97953.89264411085
1555,176010.47677603533
1556,73927.64332512987
1557,101533.38648408242
1558,110838.18591446868
1559,84246.54693200512
1560,130472.90696149529
1561,158084.32726926552
1562,136214.74706395096
1563,116103.85947091029
1564,177000.82058683116
1565,145720.084336043
1566,238377.3304615274
1567,80415.93636782863
1568,247152.8489564213
1569,143623.167343476
1570,140047.53224362177
1571,110994.63335877043
1572,140312.39868397324
1573,233876.7172652633
1574,126144.51126414721
1575,239784.25884353492
1576,254549.10258372867
1577,189859.99726831273
1578,149127.81330480997
1579,135373.0689491532
1580,193225.6291474801
1581,151218.51914524366
1582,118281.86094443087
1583,293836.4942863185
1584,230104.53969067193
1585,156793.80878591258
1586,50086.544827644975
1587,99666.5909380742
1588,148383.43488894156
1589,97464.768053917
1590,128225.7405981542
1591,79919.65076628025
1592,141254.46411019049
1593,115203.71566565262
1594,137067.31430251373
1595,108556.62038897054
1596,211328.81080842036
1597,169345.68246242148
1598,188662.5373850924
1599,185476.9610328648
1600,189057.07944988066
1601,33889.1088619775
1602,111666.91489010052
1603,79561.05378593205
1604,263543.97637316474
1605,242532.05024726462
1606,165825.19999229844
1607,185852.57004575923
1608,234332.36519446867
1609,193687.55292414906
1610,154489.63892035748
1611,146515.79751365504
1612,202795.1622273186
1613,179509.2839430649
1614,132247.61439024002
1615,72187.00204974168
1616,58067.71392605228
1617,71253.17667207694
1618,107913.81661779954
1619,141987.44193409983
1620,183029.66516278643
1621,133739.1805166307
1622,157639.2383688644
1623,260043.01145527343
1624,228732.38700960443
1625,117934.31824658593
1626,191638.0303790813
1627,194686.82309642108
1628,267275.7455699265
1629,176027.42811409093
1630,308062.8239215621
1631,210060.55891895757
1632,222507.80097060755
1633,181483.40694969322
1634,193389.56918384705
1635,189058.7762581092
1636,170197.6214542503
1637,192857.86008811556
1638,207193.30169552183
1639,185683.0983842183
1640,241763.2691392745
1641,188317.63239760185
1642,248591.56083121238
1643,226773.67597979648
1644,228732.68924736208
1645,224196.16661227818
1646,176641.3955923159
1647,164356.12740413245
1648,131379.68078387104
1649,141679.63059815508
1650,109466.36364904801
